cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
0.0,27.9,0,0,0,0
10.4,27.9,0,3121152,8977,9054
10.0,27.9,0,1007616,9434,16596
10.9,27.9,0,1720320,8993,8893
11.7,27.9,0,1540096,9689,17001
16.4,28.0,0,1347584,23560,32860
43.8,29.1,196608,1052672,3911606,136291
51.4,29.8,208896,1048576,7340177,129382
16.4,29.8,0,974848,4841549,108055
17.0,30.1,77824,1564672,3800955,80204
19.3,30.1,249856,31633408,1443319,41201
18.2,30.0,0,770048,14235,12824
18.0,30.0,0,3424256,14307,13399
14.1,29.9,0,688128,20922,19961
11.2,29.9,0,552960,644136,24021
20.8,29.8,0,618496,14480,12194
16.4,29.7,0,1019904,18426,12957
18.2,29.5,0,557056,8179,15405
26.6,29.8,294912,1019904,520129,15668
17.2,29.9,61440,798720,1073328,26868
15.2,29.8,8192,581632,131198,9353
25.0,29.9,135168,1089536,1684308,46344
26.8,29.8,12288,565248,161059,17060
19.1,29.6,0,552960,20267,9137
17.9,29.7,0,671744,8642,8357
39.4,30.2,983040,1413120,15710,54773
66.4,31.0,327680,1347584,2688424,84421
32.7,31.1,69632,1007616,4755925,90795
25.4,30.9,0,1019904,904287,60168
17.2,30.9,0,1007616,14556,17265
17.1,30.6,90112,1011712,38102,14656
16.5,30.7,0,1007616,8007,9841
47.3,31.2,0,1503232,4709804,84147
18.4,31.3,86016,1036288,273382,22272
31.9,31.7,12288,1011712,5349283,123572
15.7,31.7,0,4050944,17912,7806
16.3,31.7,0,1179648,13095,10573
15.0,31.7,0,1007616,2368445,55110
17.6,31.6,0,1007616,7055,7874
15.1,31.2,0,1007616,7529,7839
19.7,31.2,16384,5345280,7148,8075
17.4,31.2,360448,63287296,7482,8579
15.7,31.2,0,1118208,7806,9132
15.3,31.2,0,688128,1271901,31700
17.0,31.2,0,618496,7422,8037
15.4,31.1,0,794624,7370,7832
19.3,31.0,0,843776,7603,9363
15.9,30.5,0,618496,7713,7829
16.3,30.5,0,688128,7626,7936
14.3,30.5,0,618496,1490216,34751
15.4,30.4,32768,1921024,7627,8229
16.5,30.4,0,688128,7401,8385
17.8,30.4,0,622592,7422,8193
14.9,30.4,0,548864,492854,21923
17.8,30.3,0,548864,13060,24512
15.4,30.3,81920,2383872,9792,8659
15.8,30.3,0,1949696,8776,16093
15.1,30.2,0,548864,23528,8410
16.3,30.2,0,548864,7792,8298
15.4,30.2,0,548864,11616,30535
15.5,30.2,16384,1290240,9606,8640
17.3,30.2,0,1007616,7370,8611
15.2,30.1,0,1007616,8086,8638
17.0,30.1,0,1007616,7791,8019
15.2,30.1,0,1007616,7260,7751
16.6,30.1,16384,2158592,7508,7850
15.4,30.1,0,1695744,16154,16506
15.1,30.1,0,1011712,7713,8143
16.7,30.2,0,1007616,9052,14110
15.4,30.2,0,1007616,7478,8054
19.4,30.0,0,1626112,7497,7953
15.8,30.0,196608,53121024,7449,8568
15.1,30.0,0,757760,7356,7504
14.8,30.0,0,757760,7424,7956
15.2,29.9,0,688128,7073,7644
15.2,29.9,0,761856,7569,7722
15.3,29.9,0,688128,7533,9318
15.2,29.8,0,757760,7494,7568
17.8,29.9,0,688128,7477,8639
16.2,29.8,0,688128,7621,7902
14.9,29.8,0,618496,12036,8245
15.2,29.8,0,692224,7594,9078
15.4,29.8,0,1249280,7284,7936
14.6,29.8,0,548864,7552,8127
15.2,29.8,0,618496,7506,7974
16.1,29.8,0,548864,7687,8419
18.0,29.9,0,618496,7085,8434
19.2,29.8,0,548864,7775,10775
13.9,29.8,0,618496,14096,11734
18.1,29.8,0,618496,8008,8385
9.9,29.7,0,548864,7495,8247
14.8,29.7,0,655360,7293,8100
0.0,29.3,0,0,0,0
10.7,29.4,0,1769472,306,268
10.8,29.3,0,1142784,780,420
10.5,29.2,45056,1249280,0,0
11.0,29.2,0,1011712,0,0
11.0,29.1,0,974848,289,282
11.4,29.1,0,970752,165,106
20.5,29.7,0,1437696,17361,30070
14.8,29.8,0,1073152,16804,4489
14.0,29.7,0,1036288,0,0
14.3,29.8,0,1212416,6901,8409
15.4,29.9,0,1105920,7077,758
11.4,29.9,0,1683456,110,431
12.0,29.8,0,1110016,706,994
12.4,29.8,0,1105920,7447,4649
11.6,29.8,65536,26120192,7016,4263
10.9,29.8,0,1241088,262,295
11.4,29.9,0,1122304,476,106
12.8,29.9,0,753664,0,0
10.0,29.9,0,692224,874,925
11.9,30.0,0,827392,311,584
13.8,30.0,0,655360,12564,11819
10.9,30.0,0,692224,1077,815
10.2,30.0,0,630784,66,0
12.1,30.0,0,614400,0,0
10.7,30.0,0,692224,155,597
10.7,30.0,0,757760,171,86
9.9,30.0,0,544768,155,533
10.7,29.9,0,1818624,570,801
14.6,30.0,0,1007616,0,0
22.1,30.0,4096,1040384,80426,38902
14.6,30.0,0,1187840,5737573,79577
12.8,30.1,0,1257472,0,0
11.3,30.1,0,1032192,547,1041
11.8,30.2,0,1011712,4075,3154
8.4,30.2,0,1007616,168,423
8.1,30.1,0,1716224,757,1310
9.8,30.1,0,1540096,0,5724
11.6,30.1,0,1146880,1381,1232
8.0,29.9,0,970752,196,220
9.0,29.9,0,2129920,719,627
10.6,29.9,0,974848,797,1058
11.8,29.9,0,1003520,524,248
9.5,29.9,0,1925120,155,453
8.2,29.9,0,1142784,157,115
9.6,29.9,49152,27435008,327,172
8.6,29.9,0,761856,3908,17477
10.2,29.6,0,1007616,2515,883
7.5,29.6,0,798720,241,469
9.5,29.6,0,692224,0,161
