timestamp,cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps,window_id,app_id,pid,process_count,keyboard_active,mouse_active,true_focus,avg_wpm,instant_wpm,keys_per_sec,typing_burst_sec,idle_time_sec,focus_streak_sec,window_switch_count,wpm_delta,hour
2026-01-19T20:58:18,8.0,29.9,0,970752,196,220,7,org.telegram.desktop,3938,1,0,1,1,20.2,0.0,0,38.0,0.6,1.0,6,0.1,20
2026-01-19T20:58:19,9.0,29.9,0,2129920,719,627,7,org.telegram.desktop,3938,1,0,1,1,20.2,0.0,0,39.0,0.0,2.0,6,0.0,20
2026-01-19T20:58:20,10.6,29.9,0,974848,797,1058,7,org.telegram.desktop,3938,1,1,1,1,20.4,12.0,1,40.0,0.0,3.0,6,0.1,20
2026-01-19T20:58:21,11.8,29.9,0,1003520,524,248,7,org.telegram.desktop,3938,1,1,1,1,20.8,24.0,2,41.0,0.7,4.0,6,0.2,20
2026-01-19T20:58:22,9.5,29.9,0,1925120,155,453,7,org.telegram.desktop,3938,1,1,1,1,21.4,36.0,3,42.0,0.3,5.0,6,0.3,20
2026-01-19T20:58:23,8.2,29.9,0,1142784,157,115,7,org.telegram.desktop,3938,1,1,0,1,21.6,12.0,1,43.0,0.0,6.0,6,0.3,20
2026-01-19T20:58:24,9.6,29.9,49152,27435008,327,172,7,org.telegram.desktop,3938,1,1,0,1,22.6,60.0,5,44.0,0.0,7.0,6,0.5,20
2026-01-19T20:58:25,8.6,29.9,0,761856,3908,17477,7,org.telegram.desktop,3938,1,1,0,1,23.4,48.0,4,45.0,0.1,8.0,6,0.6,20
2026-01-19T20:58:26,10.2,29.6,0,1007616,2515,883,7,org.telegram.desktop,3938,1,1,0,1,24.4,60.0,5,46.0,0.1,9.0,6,0.7,20
2026-01-19T20:58:27,7.5,29.6,0,798720,241,469,7,org.telegram.desktop,3938,1,1,0,1,25.6,72.0,6,47.0,0.1,10.0,6,0.9,20
