cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
0.0,34.3,0,0,0,0
3.9,34.3,0,761856,2193,254
3.5,34.4,0,774144,478,586
3.5,34.4,0,540672,242,361
3.9,34.5,0,688128,324,463
10.9,34.8,0,622592,823,17190
11.8,35.6,0,626688,6013,3812
7.4,35.9,0,1032192,8450,3614
5.8,35.9,16384,1269760,13583,6515
4.3,34.4,0,966656,9239,1816
9.1,34.0,0,1384448,8806,32376
5.9,34.1,0,1011712,15604,25582
5.0,34.1,0,1064960,11467,4417
2.6,34.0,0,974848,368,4512
5.5,34.0,0,970752,13732,4896
8.4,34.0,0,1069056,2191,655
7.2,33.9,0,1499136,173,16229
5.0,34.0,0,1097728,1283,360
8.7,33.8,0,1150976,16893,8925
7.4,33.9,0,974848,0,86
10.8,33.9,0,1642496,627,16524
4.2,34.0,0,2428928,1611,8486
8.4,33.9,0,1003520,4767,8879
5.3,33.9,0,1007616,3161,495
4.5,34.0,0,1581056,8677,15996
6.2,34.0,0,974848,392,354
8.6,34.0,0,978944,262,134
6.8,34.0,0,978944,262,275
7.2,34.0,0,974848,242,311
4.3,34.0,0,1687552,453,547
7.4,34.0,0,30765056,457,326
6.4,34.0,0,757760,428,369
4.9,34.0,0,753664,735,872
6.2,34.0,0,749568,519,716
7.6,34.0,0,757760,171,86
4.8,34.0,0,614400,698,647
2.6,33.9,0,749568,0,0
3.0,33.9,0,618496,0,0
4.9,34.0,0,954368,196,134
2.6,33.9,0,749568,0,0
6.5,33.9,0,946176,196,134
10.2,33.9,0,622592,0,0
5.5,33.9,0,688128,392,268
8.1,33.9,0,1503232,242,212
5.5,33.8,0,544768,258,598
5.9,33.8,0,540672,458,354
5.9,33.8,0,618496,540,240
11.1,33.9,0,708608,196,134
6.2,33.8,0,610304,577,552
5.5,33.8,0,548864,262,134
4.5,33.8,0,614400,196,134
7.0,33.8,0,1286144,0,0
6.3,33.9,0,569344,0,0
9.7,33.9,0,544768,6680,30149
8.0,33.9,0,1540096,26318,17885
8.3,33.9,0,1110016,434,487
6.4,33.9,0,1003520,4833,250
9.8,33.8,0,999424,1878,629
7.4,33.8,0,1007616,1233,890
8.2,33.8,0,1003520,646,504
14.5,33.9,0,1687552,1216,733
11.1,33.9,0,1007616,695,669
14.4,33.9,0,970752,1323,903
10.7,33.9,0,23306240,1223,858
13.3,33.9,0,548864,1012,841
15.8,34.0,0,753664,1347,1098
11.8,34.0,0,610304,614,549
12.3,34.0,0,757760,3557,4774
13.7,34.0,0,753664,463,368
9.3,34.0,0,749568,1314,642
9.9,34.0,0,757760,4987,17661
5.3,34.0,0,622592,2143,491
