timestamp,cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps,window_id,app_id,pid,process_count,keyboard_active,mouse_active,true_focus,avg_wpm,instant_wpm,keys_per_sec,typing_burst_sec,idle_time_sec,focus_streak_sec,window_switch_count,wpm_delta,hour
2026-01-19T20:46:32,0.0,27.9,0,0,0,0,2,com.mitchellh.ghostty,1290,1,0,0,0,0.0,0.0,0,0.0,1768830392.5,0.0,0,0.0,20
2026-01-19T20:46:33,10.4,27.9,0,3121152,8977,9054,2,com.mitchellh.ghostty,1290,1,0,0,0,0.0,0.0,0,0.0,1768830393.5,0.0,0,0.0,20
2026-01-19T20:46:34,10.0,27.9,0,1007616,9434,16596,2,com.mitchellh.ghostty,1290,1,1,0,1,1.6,96.0,8,0.0,0.2,0.0,0,0.5,20
2026-01-19T20:46:35,10.9,27.9,0,1720320,8993,8893,2,com.mitchellh.ghostty,1290,1,1,0,1,2.8,72.0,6,1.0,0.2,1.0,0,0.7,20
2026-01-19T20:46:36,11.7,27.9,0,1540096,9689,17001,4,helium,1556,44,1,0,1,3.4,36.0,3,2.0,0.2,2.0,1,0.7,20
2026-01-19T20:46:37,16.4,28.0,0,1347584,23560,32860,4,helium,1556,45,1,0,1,3.8,24.0,2,3.0,0.5,3.0,1,0.6,20
2026-01-19T20:46:38,43.8,29.1,196608,1052672,3911606,136291,4,helium,1556,45,1,0,1,4.8,60.0,5,4.0,0.0,4.0,1,0.7,20
2026-01-19T20:46:39,51.4,29.8,208896,1048576,7340177,129382,4,helium,1556,45,1,0,1,5.4,36.0,3,5.0,0.1,5.0,1,0.7,20
2026-01-19T20:46:40,16.4,29.8,0,974848,4841549,108055,4,helium,1556,45,1,0,1,6.2,48.0,4,6.0,0.3,6.0,1,0.7,20
2026-01-19T20:46:41,17.0,30.1,77824,1564672,3800955,80204,4,helium,1556,45,1,0,1,6.6,24.0,2,7.0,0.3,7.0,1,0.6,20
2026-01-19T20:46:42,19.3,30.1,249856,31633408,1443319,41201,4,helium,1556,45,1,0,1,6.6,0.0,0,8.0,1.3,8.0,1,0.4,20
2026-01-19T20:46:43,18.2,30.0,0,770048,14235,12824,4,helium,1556,45,1,0,1,6.6,0.0,0,9.0,2.3,9.0,1,0.3,20
2026-01-19T20:46:44,18.0,30.0,0,3424256,14307,13399,4,helium,1556,45,0,0,0,6.6,0.0,0,10.0,3.3,0.0,1,0.2,20
2026-01-19T20:46:45,14.1,29.9,0,688128,20922,19961,4,helium,1556,45,0,0,0,6.6,0.0,0,11.0,4.3,0.0,1,0.1,20
2026-01-19T20:46:46,11.2,29.9,0,552960,644136,24021,4,helium,1556,45,0,0,0,6.6,0.0,0,0.0,5.3,0.0,1,0.1,20
2026-01-19T20:46:47,20.8,29.8,0,618496,14480,12194,4,helium,1556,45,1,0,1,6.8,12.0,1,0.0,0.1,0.0,1,0.1,20
2026-01-19T20:46:48,16.4,29.7,0,1019904,18426,12957,4,helium,1556,45,1,0,1,6.8,0.0,0,1.0,1.1,1.0,1,0.1,20
2026-01-19T20:46:49,18.2,29.5,0,557056,8179,15405,4,helium,1556,45,1,0,1,7.0,12.0,1,2.0,0.2,2.0,1,0.1,20
2026-01-19T20:46:50,26.6,29.8,294912,1019904,520129,15668,4,helium,1556,45,1,0,1,7.4,24.0,2,3.0,0.0,3.0,1,0.2,20
2026-01-19T20:46:51,17.2,29.9,61440,798720,1073328,26868,4,helium,1556,45,1,0,1,8.0,36.0,3,4.0,0.1,4.0,1,0.3,20
